GATE_HW_SH: 1007.356,-150.6205,766.3,-21.12001,1,0
GATE_LF_HW: -1204.644,-208.6205,-947.7,-149.12,1,0
HW_A02: -751.6439,-183.6205,-569.7,-123.12,1,1
HW_A04: -211.6439,-37.62058,-230.7,22.87999,1,1
HW_A05: -111.6439,30.37944,-117.7,25.87999,0,1
HW_A06: -83.64384,138.3795,-123.7,166.88,1,1
HW_A07: 87.35612,220.3795,4.299994,214.88,1,1
HW_A08: -155.6439,-165.6205,-76.7,-122.12,0,1
HW_A10: 228.3562,209.3795,113.3,331.88,1,1
HW_A11: 210.3561,-117.6206,100.3,-42.12001,1,1
HW_A13: 377.3561,-162.6205,336.3,-174.12,0,1
HW_A16: 146.3561,337.3795,37.29999,482.88,1,1
HW_A33: 171.2,414,151.8,-364.12,1,1
HW_B01: -977.6439,-207.6205,-812.7,-142.12,1,1
HW_B09: 71.35612,54.37944,-5.700006,6.879992,1,1
HW_B12: 97.35612,-163.6205,68.3,-171.12,0,1
HW_B14: 406.3562,-99.62062,237.3,-39.12001,1,1
HW_B36: 721.2,414,282.8,-336.12,1,1
HW_C03: -454.6439,-168.6205,-423.7,-108.12,1,1
HW_C15: 705.3561,-152.6206,409.3,-18.12001,1,1
HW_connec: 337.7652,95.65218,192.8,204.88,1,1
HW_S01: -434.6439,-176.6206,-253.7,-239.12,0,0
HW_S02: 83.35612,323.3795,2.299993,340.88,0,0
HW_S03: 691.3561,-259.6205,495.3,-135.12,1,0
OffScreenDen_HW: -956.6439,17.37942,364.3,386.88,1,1
Connection: GATE_HW_SH,HW_C15,2,12,149,15,2,0
Connection: GATE_LF_HW,HW_B01,45,9,3,8,0,2
Connection: HW_A02,HW_C03,46,20,4,9,0,2
Connection: HW_A02,HW_B01,7,15,93,26,3,0
Connection: HW_A04,HW_A05,46,32,3,26,0,2
Connection: HW_A04,HW_C03,26,5,143,21,3,0
Connection: HW_A05,HW_A06,44,27,18,14,0,3
Connection: HW_A05,HW_B09,44,10,4,11,0,2
Connection: HW_A06,HW_B09,45,29,4,57,0,2
Connection: HW_A07,HW_S02,24,32,20,8,1,3
Connection: HW_A07,HW_A10,44,22,7,4,0,3
Connection: HW_A07,HW_B09,22,3,29,70,3,1
Connection: HW_A08,HW_B09,20,31,45,4,1,3
Connection: HW_A08,HW_C03,5,15,143,12,2,0
Connection: HW_A08,HW_B12,44,11,15,8,0,2
Connection: HW_A10,HW_A16,4,20,35,7,2,3
Connection: HW_A10,HW_connec,43,4,9,27,3,2
Connection: HW_A11,HW_B09,18,29,46,22,2,0
Connection: HW_A11,HW_B14,47,21,21,32,0,2
Connection: HW_A11,HW_B12,14,7,43,27,1,0
Connection: HW_A13,HW_B12,9,14,111,8,2,0
Connection: HW_A13,HW_B14,44,7,17,11,3,3
Connection: HW_A33,HW_B36,42,18,101,6,0,0
Connection: HW_B14,HW_connec,10,52,29,5,2,3
Connection: HW_B14,HW_C15,44,11,8,11,0,2
Connection: HW_C03,HW_S01,95,6,16,4,3,3
Connection: HW_C15,HW_S03,68,6,25,26,3,1
